Unnamed: 0,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,pickup_hour,pickup_day,pickup_month,pickup_minute,is_weekend,pickup_day_of_week,distance_km,season_winter,season_spring,season_summer,season_autumn
24238194.0,2015-05-07 19:52:06.000000300+00:00,7.5,2015-05-07 19:52:06+00:00,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1.0,19,7,5,52,1,3,1.683322752402931,0,1,0,0
27835199.0,2009-07-17 20:04:56.000000200+00:00,7.7,2009-07-17 20:04:56+00:00,-73.994355,40.728225,-73.99471,40.750325,1.0,20,17,7,4,1,4,2.4575898837790584,0,0,1,0
44470845.0,2011-02-12 02:27:09.000000600+00:00,4.9,2011-02-12 02:27:09+00:00,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1.0,2,12,2,27,1,5,0.0,1,0,0,0
44195482.0,2012-12-11 13:52:00.000000290+00:00,2.5,2012-12-11 13:52:00+00:00,0.0,0.0,0.0,0.0,1.0,13,11,12,52,1,1,0.0,1,0,0,0
15822268.0,2012-02-17 09:32:00.000000430+00:00,9.7,2012-02-17 09:32:00+00:00,-73.975187,40.745767,-74.00272,40.743537,1.0,9,17,2,32,1,4,2.332711009340077,1,0,0,0
2205147.0,2015-05-22 17:32:27.000000400+00:00,6.5,2015-05-22 17:32:27+00:00,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1.0,17,22,5,32,1,4,2.2508576218600655,0,1,0,0
6379048.0,2011-05-23 22:15:00.000000860+00:00,8.5,2011-05-23 22:15:00+00:00,0.0,0.0,0.0,0.0,1.0,22,23,5,15,1,0,0.0,0,1,0,0
31892535.0,2011-05-17 14:03:00.000000158+00:00,3.3,2011-05-17 14:03:00+00:00,-73.966378,40.80444,-73.96589,40.807133,5.0,14,17,5,3,1,1,0.30225169336801644,0,1,0,0
13012786.0,2011-06-25 11:19:00.000000102+00:00,10.9,2011-06-25 11:19:00+00:00,-73.953352,40.767382,-73.97251,40.796137,1.0,11,25,6,19,1,5,3.581250827378925,0,0,1,0
48411337.0,2010-04-06 22:20:27.000000400+00:00,6.9,2010-04-06 22:20:27+00:00,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1.0,22,6,4,20,1,1,1.3099499000119,0,1,0,0
46272151.0,2012-02-21 09:33:00.000000280+00:00,9.7,2012-02-21 09:33:00+00:00,-73.990718,40.75192,-73.97305300000001,40.74423,2.0,9,21,2,33,1,1,1.7162774216529932,1,0,0,0
11875730.0,2011-09-01 09:21:40.000000200+00:00,4.9,2011-09-01 09:21:40+00:00,-73.988908,40.756982,-73.981246,40.76005,1.0,9,1,9,21,0,3,0.7299655487752681,0,0,0,1
1728270.0,2011-03-19 23:58:27.000000300+00:00,10.5,2011-03-19 23:58:27+00:00,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2.0,23,19,3,58,1,5,2.5159500721201353,0,1,0,0
33157445.0,2009-08-08 00:20:00.000000183+00:00,4.9,2009-08-08 00:20:00+00:00,-73.992075,40.719633,-73.985323,40.727405,1.0,0,8,8,20,1,5,1.0347036107860215,0,0,1,0
9843493.0,2015-03-03 23:15:03.000000300+00:00,5.0,2015-03-03 23:15:03+00:00,-73.98918914794923,40.72914123535156,-73.9872817993164,40.72063446044922,2.0,23,3,3,15,0,1,0.9594688591851598,0,1,0,0
47537124.0,2009-11-26 02:58:00.000000500+00:00,4.1,2009-11-26 02:58:00+00:00,-74.010798,40.726085,-74.00976700000001,40.737402,2.0,2,26,11,58,1,3,1.2613880250404355,0,0,0,1
37339061.0,2010-05-12 22:32:00.000000200+00:00,12.9,2010-05-12 22:32:00+00:00,-73.972987,40.76404,-74.00782,40.714993,5.0,22,12,5,32,1,2,6.193235947014278,0,1,0,0
49393874.0,2009-02-12 17:52:18.000000100+00:00,9.5,2009-02-12 17:52:18+00:00,-73.986059,40.757159,-73.97613,40.780589,1.0,17,12,2,52,1,3,2.7361888046764697,1,0,0,0
38755863.0,2014-01-21 06:55:00.000000940+00:00,5.0,2014-01-21 06:55:00.000000940+00:00,-73.957802,40.776372,-73.957422,40.78287,1.0,6,21,1,55,1,1,0.7232527134113774,1,0,0,0
46387690.0,2009-05-06 20:06:23.000000300+00:00,4.9,2009-05-06 20:06:23+00:00,-73.97778000000001,40.763656,-73.989486,40.772966,1.0,20,6,5,6,1,2,1.4295153219088788,0,1,0,0
45740211.0,2011-12-24 02:52:00.000000560+00:00,7.3,2011-12-24 02:52:00+00:00,-73.971075,40.787833,-73.94495699999999,40.784302,5.0,2,24,12,52,1,5,2.2336962262344073,1,0,0,0
